30 Oct 2021|08:35:05 AM|+200000000|20000000031 
Oct 2021|21:44:21 PM|+10000000|210000000
31 Oct 2021|21:46:28 PM|+10000000|220000000
31 Oct 2021|21:49:36 PM|-4000|219996000
31 Oct 2021|21:49:36 PM|+5000|220001000
31 Oct 2021|21:49:36 PM|+10000|220011000
31 Oct 2021|21:49:36 PM|+35000|220046000
31 Oct 2021|21:49:36 PM|+5000|220051000
31 Oct 2021|21:49:36 PM|-2500|220048500
31 Oct 2021|21:49:36 PM|+5000|220053500
31 Oct 2021|22:00:39 PM|-100000|219953500
31 Oct 2021|23:12:46 PM|+5000|219958500
31 Oct 2021|23:12:46 PM|-500|219958000
31 Oct 2021|23:19:35 PM|-100000|219858000
31 Oct 2021|23:31:44 PM|+50000|219908000
31 Oct 2021|23:50:33 PM|+5000|219913000
31 Oct 2021|23:50:33 PM|-5000|219908000
01 Nov 2021|09:58:08 AM|+2000|219910000
01 Nov 2021|10:01:03 AM|+5000|219915000
01 Nov 2021|10:11:03 AM|+1000|219916000
01 Nov 2021|10:11:03 AM|-1000|219915000
01 Nov 2021|10:11:03 AM|+1500|219916500
01 Nov 2021|10:25:29 AM|+1000|219917500
